fact_unit,2012-11-14,2013-02-28,2013-05-03,2013-08-02,2013-09-06,2013-11-07,2014-02-26,2014-05-05,2014-07-31,2014-10-31,2015-02-26,2015-04-29,2015-07-29,2015-10-30,2016-02-24,2016-04-29,2016-08-02,2016-11-01,2017-02-22,2017-05-02,2017-08-01,2017-10-31,2018-02-28,2018-05-01,2018-07-31,2018-10-30,2019-02-27,2019-04-30,2019-07-30,2019-10-29,2020-02-26,2020-04-30,2020-07-29,2020-11-03,2021-02-24,2021-05-04,2021-08-03,2021-11-02,2022-02-23,2022-05-03,2022-08-02,2022-11-01,2023-02-23,2023-05-02,2023-08-01,2023-10-31,2024-02-29,2024-04-30,2024-08-01,2024-10-31,2025-02-27,2025-05-02,2025-08-05,2025-11-04
BusinessCombinationContingentConsiderationLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56000000.0,56000000.0,56000000.0,57000000.0,57000000.0,57000000.0,57000000.0,57000000.0,44000000.0,44000000.0,44000000.0,44000000.0,18000000.0,18000000.0,18000000.0,18000000.0,,,31000000.0
Cash / USD,,385000000.0,,,385000000.0,,577000000.0,,,,915000000.0,,,,781000000.0,,,,268000000.0,,,,543000000.0,,,,561000000.0,,,,283000000.0,,,,370000000.0,438000000.0,438000000.0,438000000.0,438000000.0,297000000.0,297000000.0,297000000.0,297000000.0,294000000.0,294000000.0,294000000.0,294000000.0,488000000.0,488000000.0,488000000.0,488000000.0,555000000.0,555000000.0,555000000.0
CashAndCashEquivalentsAtCarryingValue / USD,0.0,340000000.0,385000000.0,385000000.0,340000000.0,385000000.0,333000000.0,577000000.0,577000000.0,577000000.0,385000000.0,915000000.0,915000000.0,915000000.0,577000000.0,781000000.0,781000000.0,781000000.0,915000000.0,268000000.0,268000000.0,268000000.0,781000000.0,543000000.0,543000000.0,543000000.0,268000000.0,561000000.0,561000000.0,561000000.0,543000000.0,283000000.0,283000000.0,370000000.0,370000000.0,438000000.0,438000000.0,438000000.0,438000000.0,297000000.0,297000000.0,297000000.0,297000000.0,294000000.0,294000000.0,294000000.0,294000000.0,488000000.0,488000000.0,488000000.0,488000000.0,555000000.0,555000000.0,555000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283000000.0,561000000.0,370000000.0,370000000.0,370000000.0,283000000.0,438000000.0,438000000.0,438000000.0,370000000.0,297000000.0,297000000.0,297000000.0,438000000.0,294000000.0,294000000.0,294000000.0,297000000.0,488000000.0,488000000.0,488000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234000000.0,,20000000.0,129000000.0,266000000.0,-278000000.0,-131000000.0,-78000000.0,59000000.0,87000000.0,-84000000.0,-159000000.0,-167000000.0,68000000.0,-60000000.0,66000000.0,-67000000.0,-141000000.0,-59000000.0,59000000.0,54000000.0,-3000000.0,-15000000.0,52000000.0,-14000000.0
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,9000000.0,2000000.0,-35000000.0,-27000000.0,-17000000.0,4000000.0,-5000000.0,3000000.0,-6000000.0,8000000.0,14000000.0,-6000000.0,-5000000.0,19000000.0,38000000.0,36000000.0,12000000.0,9000000.0,5000000.0,11000000.0,13000000.0,3000000.0,11000000.0,12000000.0,9000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,0.42,,,0.42,1.52,1.36,0.42,0.84,1.26,1.52,0.49,0.98,1.47,1.68,0.55,1.1,1.65,1.96,0.57,1.14,1.71,2.2,0.6,1.2,1.8,2.28,0.66,1.32,1.98,2.4,0.71,1.42,2.13,2.64,0.73,1.46,2.19,2.84,0.76,1.52,2.28,2.92,0.81,1.62,2.43,3.04,0.86,1.72,2.58,3.24,0.94,1.88,2.82
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,,,0.01,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,
CommonStockSharesAuthorized / shares,,500000000.0,,,500000000.0,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,,750000000.0,,,
CommonStockSharesIssued / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413300000.0,,,,398100000.0,,,,398800000.0,,,,397800000.0,,,,399400000.0,,,
CommonStockSharesOutstanding / shares,,334400000.0,,,334400000.0,,470700000.0,,,,475100000.0,,,,467900000.0,,,,458800000.0,,,,449400000.0,,,,439900000.0,,,423600000.0,423600000.0,413300000.0,413300000.0,413300000.0,413300000.0,398100000.0,398100000.0,398100000.0,398100000.0,398800000.0,398800000.0,398800000.0,398800000.0,397800000.0,397800000.0,397800000.0,397800000.0,399400000.0,399400000.0,399400000.0,399400000.0,392900000.0,392900000.0,392900000.0
CommonStockValueOutstanding / USD,1.0,167000000.0,,,167000000.0,,5000000.0,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,,5000000.0,,,,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
ComprehensiveIncomeNetOfTax / USD,,789000000.0,537000000.0,677000000.0,789000000.0,1194000000.0,734000000.0,143000000.0,566000000.0,1398000000.0,1217000000.0,442000000.0,696000000.0,731000000.0,2265000000.0,-168000000.0,597000000.0,731000000.0,454000000.0,677000000.0,913000000.0,1460000000.0,1008000000.0,697000000.0,1536000000.0,3136000000.0,1331000000.0,784000000.0,770000000.0,1088000000.0,4029000000.0,589000000.0,1195000000.0,1537000000.0,1404000000.0,-238000000.0,-30000000.0,692000000.0,2066000000.0,428000000.0,1128000000.0,2000000000.0,1505000000.0,648000000.0,805000000.0,891000000.0,2706000000.0,770000000.0,1567000000.0,2291000000.0,2149000000.0,781000000.0,1652000000.0,2783000000.0
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2000000.0,-2000000.0,-2000000.0,,,-3000000.0,-3000000.0,,-3000000.0,-3000000.0,-3000000.0,,-2000000.0,-2000000.0,-2000000.0,,-1000000.0,-1000000.0,-1000000.0,,1000000.0,1000000.0,1000000.0,-3000000.0,-1000000.0,-1000000.0,8000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,5200000000.0,5400000000.0,5400000000.0,5300000000.0,5300000000.0,5300000000.0,5300000000.0,5400000000.0,5400000000.0,5300000000.0,248000000.0,248000000.0,234000000.0,234000000.0,234000000.0,234000000.0,257000000.0,257000000.0,257000000.0,257000000.0,422000000.0,422000000.0,422000000.0,422000000.0,508000000.0,508000000.0,508000000.0,508000000.0,626000000.0,626000000.0,626000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000000.0,395000000.0,395000000.0,395000000.0,395000000.0,489000000.0,489000000.0,489000000.0,489000000.0,610000000.0,610000000.0,610000000.0,610000000.0,602000000.0,602000000.0,602000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-939000000.0,,,683000000.0,-993000000.0,-240000000.0,-459000000.0,-728000000.0,-1014000000.0,-262000000.0,,,-1192000000.0,,,,-1541000000.0,-421000000.0,-949000000.0,-1563000000.0,-2256000000.0,-612000000.0,-1306000000.0,-2009000000.0
CostOfRevenue / USD,,9633000000.0,2754000000.0,5569000000.0,9633000000.0,8316000000.0,11261000000.0,3735000000.0,7605000000.0,11488000000.0,11448000000.0,3858000000.0,7883000000.0,11799000000.0,15369000000.0,3593000000.0,7268000000.0,10865000000.0,15646000000.0,3291000000.0,6710000000.0,10081000000.0,14304000000.0,3307000000.0,6755000000.0,10221000000.0,13396000000.0,3573000000.0,7244000000.0,10841000000.0,13756000000.0,3573000000.0,7270000000.0,10782000000.0,14511000000.0,3302000000.0,6179000000.0,9230000000.0,14338000000.0,3184000000.0,6729000000.0,10067000000.0,12408000000.0,3269000000.0,6774000000.0,10319000000.0,13293000000.0,3599000000.0,7346000000.0,11030000000.0,13865000000.0,3725000000.0,7665000000.0,11564000000.0
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370000000.0,,,,410000000.0,,,,441000000.0,,,,730000000.0,,,,570000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,106000000.0,,,106000000.0,,273000000.0,,,,136000000.0,,,,357000000.0,,,,354000000.0,,,,358000000.0,,,,304000000.0,,,,358000000.0,,,,417000000.0,,,,436000000.0,,,,456000000.0,,,,780000000.0,,,,573000000.0,,,
DebtInstrumentFairValue / USD,,4273000000.0,10793000000.0,10793000000.0,4273000000.0,10793000000.0,10796000000.0,9665000000.0,,,9665000000.0,,,,9509000000.0,,,,8231000000.0,,,,8477000000.0,,,,8048000000.0,,,,7061000000.0,,,,8638000000.0,9075000000.0,9075000000.0,9075000000.0,9075000000.0,9232000000.0,9232000000.0,9232000000.0,9232000000.0,7625000000.0,7625000000.0,7625000000.0,7625000000.0,8924000000.0,8924000000.0,8924000000.0,8924000000.0,8651000000.0,8651000000.0,8651000000.0
DeferredCompensationEquity / USD,,6000000.0,,,6000000.0,,4000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-145000000.0,,,,-61000000.0,,,,-125000000.0,,,,-28000000.0,,,,-141000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372000000.0,372000000.0,372000000.0,372000000.0,426000000.0,426000000.0,426000000.0,426000000.0,392000000.0,392000000.0,392000000.0,392000000.0,330000000.0,330000000.0,330000000.0,330000000.0,458000000.0,458000000.0,458000000.0,458000000.0,609000000.0,609000000.0,609000000.0
DeferredIncomeTaxExpenseBenefit / USD,,-7000000.0,,,-7000000.0,,-72000000.0,,,,-105000000.0,,,,-346000000.0,,,,-396000000.0,,,,-199000000.0,,,,-105000000.0,,,,24000000.0,,,,-139000000.0,,,,-58000000.0,,,,-125000000.0,,,,-30000000.0,,,,-128000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396000000.0,396000000.0,396000000.0,396000000.0,277000000.0,277000000.0,277000000.0,277000000.0,559000000.0,559000000.0,559000000.0,559000000.0,530000000.0,530000000.0,530000000.0,530000000.0,402000000.0,402000000.0,402000000.0,402000000.0,275000000.0,275000000.0,275000000.0
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,8000000000.0,,,8000000000.0,,10500000000.0,,,,12500000000.0,,,,15100000000.0,,,,17300000000.0,,,,22100000000.0,,,,25500000000.0,,,,28500000000.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent / USD,,1793000000.0,1997000000.0,2004000000.0,1793000000.0,2004000000.0,2003000000.0,1465000000.0,1465000000.0,1465000000.0,1465000000.0,1812000000.0,1812000000.0,1812000000.0,1812000000.0,1586000000.0,1586000000.0,1586000000.0,1586000000.0,1659000000.0,1659000000.0,1659000000.0,1659000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1304000000.0,1304000000.0,1304000000.0,1304000000.0,1462000000.0,1462000000.0,1462000000.0,1462000000.0,1588000000.0,1588000000.0,1588000000.0,1588000000.0,872000000.0,872000000.0,872000000.0,872000000.0,649000000.0,649000000.0,649000000.0,649000000.0,768000000.0,768000000.0,768000000.0,768000000.0,741000000.0,741000000.0,741000000.0
DefinedBenefitPlanFairValueOfPlanAssets / USD,,2653000000.0,,,2653000000.0,,3855000000.0,,,,4372000000.0,,,,4621000000.0,,,,4406000000.0,,,,4447000000.0,,,,5312000000.0,,,,4628000000.0,,,,5336000000.0,,,,5600000000.0,,,,5919000000.0,,,,4121000000.0,,,,4237000000.0,,,
DefinedBenefitPlanFairValueOfPlanAssetsPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24000000.0,,,,-89000000.0,,,,-108000000.0,,,,-99000000.0,,,,-69000000.0,,,,-67000000.0,,,
DefinedBenefitPlanPlanAssetsTargetAllocationPercentage / pure,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.08,,,,0.08,,,,0.08,,,,0.06,,,,0.03,,,,0.03,,,,0.03,,,
Depreciation / USD,,369000000.0,,,369000000.0,,367000000.0,,,,381000000.0,,,,516000000.0,,,,514000000.0,,,,479000000.0,,,,486000000.0,,,,476000000.0,,,,473000000.0,,,,465000000.0,,,,408000000.0,,,,426000000.0,,,,408000000.0,107000000.0,216000000.0,330000000.0
DepreciationDepletionAndAmortization / USD,,551000000.0,140000000.0,278000000.0,551000000.0,419000000.0,556000000.0,245000000.0,490000000.0,740000000.0,598000000.0,249000000.0,499000000.0,743000000.0,997000000.0,226000000.0,460000000.0,692000000.0,983000000.0,233000000.0,467000000.0,700000000.0,925000000.0,225000000.0,453000000.0,685000000.0,929000000.0,230000000.0,457000000.0,680000000.0,914000000.0,221000000.0,442000000.0,668000000.0,903000000.0,199000000.0,397000000.0,603000000.0,884000000.0,208000000.0,437000000.0,684000000.0,811000000.0,244000000.0,479000000.0,716000000.0,922000000.0,238000000.0,466000000.0,695000000.0,954000000.0,225000000.0,452000000.0,687000000.0
DerivativeFairValueOfDerivativeNet / USD,,46000000.0,83000000.0,83000000.0,46000000.0,83000000.0,83000000.0,-35000000.0,-35000000.0,-35000000.0,-35000000.0,70000000.0,70000000.0,70000000.0,70000000.0,86000000.0,86000000.0,86000000.0,86000000.0,-3000000.0,-3000000.0,-3000000.0,-3000000.0,36000000.0,36000000.0,36000000.0,36000000.0,14000000.0,14000000.0,14000000.0,14000000.0,53000000.0,53000000.0,53000000.0,53000000.0,31000000.0,31000000.0,31000000.0,31000000.0,41000000.0,41000000.0,41000000.0,41000000.0,29000000.0,29000000.0,29000000.0,29000000.0,11000000.0,11000000.0,11000000.0,11000000.0,-16000000.0,-16000000.0,-16000000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000000.0,48000000.0,9000000.0,73000000.0,41000000.0,48000000.0,9000000.0,73000000.0,-149000000.0,-102000000.0,-53000000.0,73000000.0,-61000000.0,32000000.0,1000000.0,76000000.0,-7000000.0,-48000000.0,-100000000.0,11000000.0,11000000.0,17000000.0,31000000.0,-71000000.0,20000000.0,-9000000.0,-11000000.0
DividendsCommonStockCash / USD,,371000000.0,200000000.0,401000000.0,371000000.0,602000000.0,466000000.0,234000000.0,467000000.0,702000000.0,515000000.0,257000000.0,518000000.0,777000000.0,801000000.0,261000000.0,521000000.0,782000000.0,934000000.0,271000000.0,540000000.0,806000000.0,1035000000.0,290000000.0,579000000.0,865000000.0,1039000000.0,290000000.0,290000000.0,290000000.0,1073000000.0,310000000.0,310000000.0,310000000.0,1150000000.0,305000000.0,305000000.0,305000000.0,1204000000.0,309000000.0,309000000.0,309000000.0,1184000000.0,333000000.0,333000000.0,333000000.0,1220000000.0,352000000.0,352000000.0,352000000.0,1301000000.0,381000000.0,381000000.0,381000000.0
EarningsPerShareBasic / USD/shares,,2.76,0.93,2.06,2.76,3.08,3.98,0.8,1.84,2.92,3.54,0.92,1.28,2.55,3.93,1.0,2.14,3.1,3.78,0.88,1.96,3.1,4.23,0.97,2.12,5.27,4.21,1.11,2.51,3.47,6.71,1.23,2.74,4.18,4.93,1.07,1.21,2.32,5.28,1.15,2.42,4.0,3.51,1.33,2.84,4.36,5.38,1.6,3.47,5.7,6.17,2.05,4.54,7.08
EarningsPerShareDiluted / USD/shares,,2.73,0.91,2.04,2.73,3.05,3.93,0.79,1.83,2.9,3.46,0.92,1.27,2.53,3.9,0.99,2.13,3.09,3.76,0.88,1.95,3.09,4.22,0.96,2.11,5.24,4.2,1.1,2.5,3.45,6.68,1.23,2.73,4.16,4.91,1.07,1.2,2.31,5.25,1.14,2.4,3.97,3.49,1.33,2.82,4.34,5.34,1.59,3.45,5.67,6.14,2.04,4.52,7.05
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000.0,-23000000.0,-22000000.0,-30000000.0,-4000000.0,-11000000.0,-13000000.0,-13000000.0,-15000000.0,8000000.0,15000000.0,15000000.0,-5000000.0,11000000.0,16000000.0,18000000.0,4000000.0,13000000.0,-20000000.0,-52000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,0.095,0.156,0.119,0.095,0.106,0.129,0.05,0.06,0.04,0.025,0.03,0.2,0.06,0.006,0.08,0.09,0.09,0.024,0.09,0.1,0.096,0.075,0.07,0.085,0.139,0.094,0.138,0.128,0.108,0.113,0.135,0.137,0.145,0.115,0.295,0.264,0.213,0.146,0.147,0.167,0.298,0.19,0.139,0.153,0.154,0.259,0.161,0.166,0.169,0.153,,0.173,0.168
EmployeeRelatedLiabilitiesCurrent / USD,,420000000.0,463000000.0,463000000.0,420000000.0,463000000.0,462000000.0,461000000.0,461000000.0,461000000.0,461000000.0,420000000.0,420000000.0,420000000.0,420000000.0,366000000.0,366000000.0,366000000.0,366000000.0,379000000.0,379000000.0,379000000.0,379000000.0,453000000.0,453000000.0,453000000.0,453000000.0,457000000.0,457000000.0,457000000.0,457000000.0,449000000.0,449000000.0,449000000.0,449000000.0,351000000.0,351000000.0,351000000.0,351000000.0,501000000.0,501000000.0,501000000.0,501000000.0,467000000.0,467000000.0,467000000.0,467000000.0,676000000.0,676000000.0,676000000.0,676000000.0,670000000.0,670000000.0,670000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,,,,11000000.0,,,,9000000.0,,,,9700000.0,,,,14000000.0,,,
EntityCommonStockSharesOutstanding / shares,100.0,471100000.0,473100000.0,473900000.0,,474500000.0,475300000.0,476700000.0,475900000.0,474600000.0,467900000.0,467100000.0,467500000.0,462800000.0,458900000.0,458000000.0,454700000.0,451700000.0,449700000.0,447300000.0,444800000.0,440600000.0,440200000.0,437300000.0,433300000.0,433400000.0,423600000.0,423100000.0,420000000.0,413400000.0,413400000.0,400000000.0,400100000.0,398600000.0,398100000.0,398500000.0,398600000.0,398600000.0,398800000.0,399000000.0,398300000.0,397700000.0,398000000.0,398600000.0,399000000.0,399300000.0,399500000.0,399800000.0,398100000.0,395200000.0,392000000.0,391300000.0,389300000.0,388400000.0
EntityPublicFloat / USD,0.0,13400000000.0,13400000000.0,13400000000.0,,13400000000.0,31200000000.0,31200000000.0,31200000000.0,,36700000000.0,,,,31600000000.0,,,,27200000000.0,,,,34600000000.0,,,,32400000000.0,,,,35000000000.0,,,,35000000000.0,,,,59100000000.0,,,,50200000000.0,,,,80200000000.0,,,,124800000000.0,,,
EquityMethodInvestments / USD,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,714000000.0,,,,680000000.0,,,,777000000.0,,,,788000000.0,,,,860000000.0,,,
FairValueInvestmentsEntitiesThatCalculateNetAssetValuePerShareUnfundedCommittments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000000.0,,,,180000000.0,,,,334000000.0,,,,254000000.0,,,,192000000.0,,,,180000000.0,,,,154000000.0,,,
FinanceLeaseInterestExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,2000000.0,,,,1000000.0,,,
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000000.0,1000000.0,1000000.0,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,2000000.0,,,,2000000.0,,,
