fact_unit,2019-07-19,2019-09-06,2019-12-06,2020-03-23,2020-06-03,2020-09-03,2020-12-03,2021-03-18,2021-06-04,2021-09-01,2021-12-02,2022-03-16,2022-06-03,2022-08-31,2022-11-30,2023-03-09,2023-06-01,2023-08-31,2023-11-29,2024-03-07,2024-06-05,2024-08-29,2024-11-27,2025-03-10,2025-06-04,2025-08-28,2025-12-03
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,98000.0,98000.0,98000.0,98000.0,1009000.0,1009000.0,1009000.0,1009000.0,2319000.0,2319000.0,2319000.0,2319000.0,-1240000.0,-1240000.0,-1240000.0,-1240000.0,-1019000.0,-1019000.0,-1019000.0,-1019000.0,-1663000.0,-1663000.0,-1663000.0,-1663000.0,-9593000.0,-9593000.0,-9593000.0
AdditionalPaidInCapital / USD,31211000.0,31211000.0,31211000.0,31211000.0,1378479000.0,1378479000.0,1378479000.0,1378479000.0,1598259000.0,1598259000.0,1598259000.0,1598259000.0,1991807000.0,1991807000.0,1991807000.0,1991807000.0,2612705000.0,2612705000.0,2612705000.0,2612705000.0,3364328000.0,3364328000.0,3364328000.0,3364328000.0,4367070000.0,4367070000.0,4367070000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,1719000.0,3943000.0,17403000.0,12343000.0,3752000.0,33611000.0,55577000.0,20505000.0,23638000.0,61351000.0,101883000.0,79940000.0,53646000.0,129010000.0,214716000.0,149375000.0,100776000.0,230559000.0,369012000.0,305792000.0,129130000.0,292941000.0,451590000.0,519735000.0,181633000.0,380109000.0,586598000.0
AdvertisingExpense / USD,500000.0,1100000.0,2600000.0,1600000.0,,,,3100000.0,,,,8000000.0,,,,27900000.0,,,,50500000.0,,,,53800000.0,,,
AllocatedShareBasedCompensationExpense / USD,1719000.0,3943000.0,17403000.0,12343000.0,3752000.0,33611000.0,55577000.0,20505000.0,23638000.0,61351000.0,101961000.0,79940000.0,54362000.0,130649000.0,217315000.0,149675000.0,102494000.0,234044000.0,374157000.0,309952000.0,130856000.0,295633000.0,455247000.0,526504000.0,183125000.0,384002000.0,592890000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,1000000.0,1000000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,1200000.0,1200000.0,1200000.0,1600000.0,1600000.0,1600000.0,1600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2200000.0,2200000.0,2200000.0,2200000.0,2800000.0,2800000.0,2800000.0
AllowanceForNotesAndLoansReceivableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,76000.0,76000.0,76000.0,76000.0
AllowanceForNotesAndLoansReceivableNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,342000.0,342000.0,342000.0,342000.0
AmortizationOfFinancingCosts / USD,,,,,,,,100000.0,,,,400000.0,,,,800000.0,,,,1000000.0,,,,1300000.0,,,
AmortizationOfIntangibleAssets / USD,166000.0,373000.0,435000.0,628000.0,146000.0,285000.0,385000.0,583000.0,103000.0,207000.0,579000.0,487000.0,2417000.0,5735000.0,9072000.0,1448000.0,4088000.0,8192000.0,12338000.0,12902000.0,4174000.0,8276000.0,12913000.0,16565000.0,5995000.0,12332000.0,18665000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,143982000.0,156129000.0,158494000.0,143095000.0,158270000.0,29966000.0,30337000.0,158685000.0,22992000.0,20064000.0,19037000.0,23194000.0,15495000.0,13830000.0,13730000.0,16515000.0,13141000.0,12972000.0,14118000.0,12664000.0,6855000.0,4060000.0,4516000.0,17400000.0,119000.0,118000.0,853000.0
Assets / USD,433219000.0,433219000.0,433219000.0,433219000.0,1404906000.0,1404906000.0,1404906000.0,1404906000.0,2732533000.0,2732533000.0,2732533000.0,2732533000.0,3618381000.0,3618381000.0,3618381000.0,3618381000.0,5026540000.0,5026540000.0,5026540000.0,5026540000.0,6646520000.0,6646520000.0,6646520000.0,6646520000.0,8701578000.0,8701578000.0,8701578000.0
AssetsCurrent / USD,331388000.0,331388000.0,331388000.0,331388000.0,1171636000.0,1171636000.0,1171636000.0,1171636000.0,2292274000.0,2292274000.0,2292274000.0,2292274000.0,2570952000.0,2570952000.0,2570952000.0,2570952000.0,3640267000.0,3640267000.0,3640267000.0,3640267000.0,4757307000.0,4757307000.0,4757307000.0,4757307000.0,6113345000.0,6113345000.0,6113345000.0
BusinessCombinationContingentConsiderationLiability / USD,,,,,,,,5300000.0,11400000.0,11400000.0,8500000.0,18500000.0,14800000.0,13300000.0,12100000.0,7900000.0,6200000.0,5300000.0,4400000.0,3600000.0,21100000.0,20200000.0,19300000.0,18400000.0,18400000.0,12300000.0,46900000.0
CapitalizedComputerSoftwareAdditions / USD,1700000.0,3200000.0,5000000.0,6500000.0,2000000.0,3500000.0,5700000.0,6800000.0,2300000.0,4700000.0,8200000.0,8100000.0,6200000.0,13800000.0,22800000.0,14000000.0,8100000.0,21600000.0,34500000.0,30700000.0,16600000.0,40200000.0,60000000.0,49300000.0,17500000.0,42500000.0,70400000.0
CapitalizedComputerSoftwareAmortization1 / USD,1100000.0,2300000.0,3500000.0,3200000.0,1500000.0,3000000.0,4600000.0,5200000.0,1900000.0,3700000.0,5600000.0,6200000.0,2500000.0,5300000.0,8600000.0,7900000.0,4300000.0,9200000.0,14800000.0,12400000.0,7500000.0,15900000.0,25400000.0,21500000.0,12800000.0,26600000.0,41400000.0
CapitalizedComputerSoftwareNet / USD,11500000.0,11500000.0,11500000.0,11500000.0,13400000.0,13400000.0,13400000.0,13400000.0,20100000.0,20100000.0,20100000.0,19500000.0,38600000.0,38600000.0,38600000.0,38600000.0,66300000.0,66300000.0,66300000.0,66300000.0,106900000.0,106900000.0,106900000.0,106900000.0,144000000.0,144000000.0,144000000.0
CapitalizedContractCostAmortization / USD,-7345000.0,-11991000.0,-19312000.0,-28642000.0,-7345000.0,-15076000.0,24125000.0,-35459000.0,13451000.0,28171000.0,44940000.0,66425000.0,24376000.0,50419000.0,79712000.0,113884000.0,37592000.0,77554000.0,121550000.0,170808000.0,55322000.0,112877000.0,173158000.0,238901000.0,74128000.0,147851000.0,227713000.0
CapitalizedContractCostImpairmentLoss / USD,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CapitalizedContractCostNet / USD,63071000.0,22334000.0,22334000.0,22334000.0,63071000.0,63071000.0,38765000.0,38765000.0,114206000.0,114206000.0,114206000.0,114206000.0,198756000.0,198756000.0,198756000.0,198756000.0,319180000.0,319180000.0,319180000.0,319180000.0,447088000.0,447088000.0,447088000.0,447088000.0,582303000.0,582303000.0,582303000.0
CapitalizedContractCostNetCurrent / USD,28847000.0,18808000.0,22022000.0,28847000.0,26193000.0,34017000.0,35924000.0,42971000.0,53410000.0,53837000.0,62422000.0,80850000.0,85388000.0,95470000.0,108636000.0,126822000.0,135681000.0,148125000.0,162260000.0,186855000.0,186901000.0,197111000.0,209216000.0,246370000.0,244651000.0,251246000.0,294229000.0
CapitalizedContractCostNetNoncurrent / USD,9918000.0,5833000.0,8531000.0,9918000.0,38004000.0,41766000.0,58260000.0,71235000.0,69908000.0,81186000.0,91585000.0,117906000.0,125392000.0,140443000.0,162309000.0,192358000.0,197261000.0,202441000.0,218635000.0,260233000.0,254397000.0,261574000.0,273859000.0,335933000.0,330004000.0,341539000.0,421773000.0
CashAndCashEquivalentsAtCarryingValue / USD,88408000.0,88408000.0,88408000.0,,264798000.0,264798000.0,264798000.0,,1918608000.0,1918608000.0,1918608000.0,,1996633000.0,1787051000.0,1907508000.0,1918608000.0,2152736000.0,2318858000.0,2466551000.0,1996633000.0,2829677000.0,3167215000.0,2968872000.0,2455369000.0,3702437000.0,4038536000.0,4260324000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,63179000.0,63179000.0,63179000.0,22826000.0,88408000.0,88408000.0,88408000.0,63179000.0,264798000.0,264798000.0,264798000.0,88408000.0,1918608000.0,1918608000.0,1918608000.0,264798000.0,1996633000.0,1996633000.0,1996633000.0,1918608000.0,2456924000.0,2456924000.0,2456924000.0,1996633000.0,3377597000.0,3377597000.0,3377597000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-13774000.0,52355000.0,20283000.0,40353000.0,4585000.0,644400000.0,655197000.0,25229000.0,740193000.0,799936000.0,795128000.0,176390000.0,-233611000.0,-131557000.0,-11100000.0,1653810000.0,156103000.0,323761000.0,471425000.0,78025000.0,374641000.0,712192000.0,514433000.0,460291000.0,327695000.0,662819000.0,884617000.0
CashEquivalentsAtCarryingValue / USD,,,,,,,,,,,,0.0,,,,1000000000.0,1600000000.0,1600000000.0,1600000000.0,1600000000.0,,,,3100000000.0,,,
CommonStockValue / USD,24000.0,24000.0,24000.0,24000.0,,,,,112000.0,112000.0,112000.0,,115000.0,115000.0,115000.0,115000.0,118000.0,118000.0,118000.0,118000.0,121000.0,121000.0,121000.0,121000.0,124000.0,124000.0,124000.0
ComprehensiveIncomeNetOfTax / USD,-33949000.0,-67186000.0,-109935000.0,-134505000.0,-26261000.0,-78494000.0,-113567000.0,,-21235000.0,-48990000.0,-74021000.0,-140868000.0,-85251000.0,-143136000.0,-194256000.0,-91319000.0,-34471000.0,-85243000.0,-143708000.0,-238361000.0,1649000.0,10895000.0,31367000.0,-183024000.0,39723000.0,88394000.0,72648000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,0.0,0.0,0.0,0.0,2178000.0,2178000.0,2183000.0,0.0,1114000.0,2086000.0,2411000.0,2424000.0,8000.0,12000.0,16000.0,960000.0,3444000.0,3121000.0,3124000.0
ContractWithCustomerLiability / USD,290067000.0,290067000.0,290067000.0,158950000.0,290067000.0,290067000.0,290067000.0,290067000.0,571168000.0,571168000.0,571168000.0,571168000.0,911895000.0,911895000.0,911895000.0,911895000.0,1529321000.0,1529321000.0,1529321000.0,1529321000.0,2355113000.0,2355113000.0,2355113000.0,2355113000.0,3054099000.0,3054099000.0,3054099000.0
ContractWithCustomerLiabilityCurrent / USD,218700000.0,218700000.0,218700000.0,218700000.0,412985000.0,412985000.0,412985000.0,412985000.0,701988000.0,701988000.0,701988000.0,701988000.0,1136502000.0,1136502000.0,1136502000.0,1136502000.0,1727484000.0,1727484000.0,1727484000.0,1727484000.0,2270757000.0,2270757000.0,2270757000.0,2270757000.0,2733005000.0,2733005000.0,2733005000.0
ContractWithCustomerLiabilityNoncurrent / USD,71367000.0,71367000.0,71367000.0,71367000.0,158183000.0,158183000.0,158183000.0,158183000.0,209907000.0,209907000.0,209907000.0,209907000.0,392819000.0,392819000.0,392819000.0,392819000.0,627629000.0,627629000.0,627629000.0,627629000.0,783342000.0,783342000.0,783342000.0,783342000.0,995672000.0,995672000.0,995672000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,79900000.0,169500000.0,203700000.0,217900000.0,79900000.0,169500000.0,203700000.0,217900000.0,141500000.0,261900000.0,354500000.0,410700000.0,244300000.0,447200000.0,598800000.0,696700000.0,397700000.0,728900000.0,972400000.0,1126900000.0,596400000.0,1089900000.0,1465500000.0,1718500000.0,792200000.0,1456500000.0,1945400000.0
CostOfGoodsAndServicesSold / USD,19394000.0,37969000.0,60243000.0,54486000.0,29273000.0,60856000.0,98211000.0,87238000.0,46895000.0,101286000.0,162813000.0,141627000.0,78505000.0,168937000.0,270601000.0,229545000.0,126832000.0,267399000.0,425627000.0,383221000.0,169230000.0,352147000.0,547151000.0,601231000.0,225003000.0,462404000.0,717491000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,1481000.0,,,,2574000.0,,,,5811000.0,,,,85700000.0,,,,20241000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,1040000.0,,,,1785000.0,,,,2678000.0,,,,6212000.0,,,,86311000.0,,,,21096000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,304000.0,,,,104000.0,,,,401000.0,,,,611000.0,,,,855000.0,,,
DeferredCompensationLiabilityCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,,,,0.0,,,,2300000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,0.0,,,,-362000.0,,,,-136000.0,,,,-363000.0,,,,135000.0,,,
DeferredFinanceCostsNet / USD,,,,,,,,1200000.0,,,,4400000.0,,,,4600000.0,,,,4500000.0,,,,4000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,-418000.0,,,,-262000.0,,,,-999000.0,,,,-13530000.0,,,,1082000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,,-111000.0,,,,-418000.0,,,,-681000.0,-207000.0,-967000.0,-1338000.0,-1452000.0,1752000.0,1604000.0,2286000.0,-13956000.0,-255000.0,-352000.0,-2355000.0,1306000.0,-255000.0,-1929000.0,-2122000.0
DeferredIncomeTaxLiabilities / USD,,,,2200000.0,,,,6990000.0,,,,21015000.0,,,,19657000.0,,,,136998000.0,,,,206359000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,0.0,,,,-57000.0,,,,-317000.0,,,,-63000.0,,,,89000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,307000.0,,,,78000.0,,,,0.0,,,,61008000.0,,,,62650000.0,,,,81551000.0,,,
DeferredTaxAssetsGross / USD,,,,122492000.0,,,,214749000.0,,,,436083000.0,,,,795245000.0,,,,1051521000.0,,,,1171295000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,0.0,,,,63158000.0,,,,154625000.0,,,,286124000.0,,,,320708000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,163000.0,,,,163000.0,,,,1240000.0,,,,4727000.0,,,,4453000.0,,,,7226000.0,,,
DeferredTaxAssetsNet / USD,,,,2101000.0,,,,7153000.0,,,,22255000.0,,,,24384000.0,,,,141451000.0,,,,213585000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,95619000.0,,,,166083000.0,,,,289889000.0,,,,428238000.0,,,,441352000.0,,,,420803000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch / USD,,,,11102000.0,,,,15355000.0,,,,22778000.0,,,,56539000.0,,,,75712000.0,,,,100002000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,498000.0,,,,8716000.0,,,,20154000.0,,,,33202000.0,,,,44861000.0,,,,33885000.0,,,
DeferredTaxAssetsTaxDeferredExpenseOther / USD,,,,1009000.0,,,,950000.0,,,,0.0,,,,4514000.0,,,,,,,,0.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,1712000.0,,,,2555000.0,,,,7791000.0,,,,12550000.0,,,,17890000.0,,,,23956000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,72200000.0,,,,120400000.0,,,,207600000.0,,,,413800000.0,,,,770900000.0,,,,910100000.0,,,
DeferredTaxLiabilitiesDeferredExpenseOtherCapitalizedCosts / USD,,,,0.0,,,,4456000.0,,,,2960000.0,,,,1632000.0,,,,99397000.0,,,,128302000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,310000.0,,,,0.0,,,,3697000.0,,,,,,,,0.0,,,,6489000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,1890000.0,,,,2534000.0,,,,4446000.0,,,,8769000.0,,,,24096000.0,,,,51335000.0,,,
EarningsPerShareBasic / USD/shares,,,,,,,,,-0.09,-0.23,-0.34,-0.96,-0.38,-0.63,-0.85,-0.43,-0.14,-0.35,-0.58,-1.03,0.0,0.04,0.15,-0.79,0.18,0.37,0.3
EarningsPerShareDiluted / USD/shares,,,,,,,,,-0.09,-0.23,-0.34,-0.96,-0.38,-0.63,-0.85,-0.43,-0.14,-0.35,-0.58,-1.03,0.0,0.04,0.15,-0.79,0.17,0.36,0.29
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-74000.0,-255000.0,-296000.0,618000.0,-86000.0,-349000.0,43000.0,-162000.0,12000.0,796000.0,691000.0,-66000.0,1193000.0,-243000.0,-1663000.0,1682000.0,-2472000.0,-4330000.0,-7074000.0,-4774000.0,-190000.0,1083000.0,-3411000.0,-1495000.0,-1917000.0,-1040000.0,-641000.0
EffectiveIncomeTaxRateContinuingOperations / pure,-0.004,-0.016,-0.0094,,-0.023,-0.016,-0.015,,0.057,0.031,0.027,,1.431,0.617,0.438,,0.127,0.117,0.147,,-0.898,-0.501,-0.343,,0.142,0.167,0.246
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,3738000.0,,,,2414000.0,,,,-43477000.0,,,,-140489000.0,,,,-145964000.0,,,,-47335000.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,19284000.0,19284000.0,19284000.0,19284000.0,36810000.0,36810000.0,36810000.0,36810000.0,71907000.0,71907000.0,71907000.0,71907000.0,104563000.0,104563000.0,104563000.0,104563000.0,168767000.0,168767000.0,168767000.0,168767000.0,234624000.0,234624000.0,234624000.0,234624000.0,319243000.0,319243000.0,319243000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,,,,,,,,,24300000.0,24300000.0,24300000.0,,12600000.0,9400000.0,7100000.0,2500000.0,1700000.0,1200000.0,6400000.0,4300000.0,7300000.0,6200000.0,5000000.0,8000000.0,6500000.0,4900000.0,19800000.0
EntityCommonStockSharesOutstanding / shares,,,,,,,,,,,,,,,,,,,,,,,,,249248174.0,250955140.0,252098440.0
EntityPublicFloat / USD,,,,6150000000.0,,,,20800000000.0,,,,51500000000.0,,,,42800000000.0,,,,38600000000.0,,,,53500000000.0,,,
EquityMethodInvestments / USD,,,,0.0,1000000.0,1000000.0,1000000.0,1000000.0,2500000.0,2500000.0,2500000.0,2500000.0,23632000.0,23632000.0,23632000.0,23632000.0,23632000.0,23632000.0,23632000.0,23632000.0,56244000.0,56244000.0,56244000.0,56244000.0,72544000.0,72544000.0,72544000.0
EquitySecuritiesFvNiGainLoss / USD,,,,,,,,,0.0,0.0,0.0,0.0,4356000.0,4356000.0,4356000.0,0.0,2208000.0,4128000.0,4757000.0,4823000.0,,,,1830000.0,0.0,0.0,0.0
EquitySecuritiesFvNiRealizedGain / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,6881000.0,6881000.0,6881000.0
EquitySecuritiesFvNiRealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6881000.0,6226000.0,6226000.0
EquitySecuritiesFvNiRealizedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,655000.0,655000.0
EquitySecuritiesFvNiUnrealizedGain / USD,,,,,,,,,,,,,,,,,,,,,,,,4758000.0,,,
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,1830000.0,0.0,0.0,0.0
EquitySecuritiesFvNiUnrealizedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,2928000.0,0.0,0.0,0.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,979000.0,979000.0,979000.0,979000.0,1439000.0,1439000.0,1439000.0,1439000.0,3004000.0,3004000.0,3004000.0,3004000.0,14774000.0,14774000.0,14774000.0,14774000.0,31312000.0,31312000.0,31312000.0,31312000.0,49697000.0,49697000.0,49697000.0,49697000.0,75641000.0,75641000.0,75641000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,2172000.0,134000.0,,,,23206000.0,,,,13143000.0,,,,13723000.0,,,,11121000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,321000.0,,,,3462000.0,13199000.0,13199000.0,13253000.0,16300000.0,15649000.0,15631000.0,16358000.0,16442000.0,16409000.0,16422000.0,22101000.0,23089000.0,24240000.0,24240000.0,24240000.0,29423000.0,27248000.0,27248000.0,32757000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,332000.0,206000.0,104000.0,,217000.0,126000.0,869000.0,,9951000.0,6634000.0,3323000.0,,12249000.0,8150000.0,4247000.0,,12308000.0,8219000.0,5527000.0,,19003000.0,12666000.0,6332000.0,,21799000.0,14171000.0,8190000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,0.0,0.0,,,3260000.0,2182000.0,,,,12261000.0,,,,12582000.0,,,,16573000.0,,,,14605000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,88000.0,85000.0,85000.0,0.0,,,3260000.0,3268000.0,11329000.0,11331000.0,11387000.0,14437000.0,12302000.0,12267000.0,13010000.0,13095000.0,12634000.0,12634000.0,18313000.0,19326000.0,18823000.0,18799000.0,18799000.0,23982000.0,14605000.0,14605000.0,19714000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,126000.0,123000.0,123000.0,85000.0,83000.0,91000.0,3350000.0,3268000.0,12416000.0,12418000.0,12474000.0,15524000.0,14477000.0,14460000.0,15186000.0,15270000.0,13147000.0,13147000.0,18827000.0,19817000.0,21577000.0,21552000.0,21552000.0,26735000.0,23982000.0,23982000.0,29091000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,333000.0,324000.0,325000.0,121000.0,119000.0,130000.0,3445000.0,3363000.0,12500000.0,12502000.0,12558000.0,15608000.0,15564000.0,15547000.0,16273000.0,16357000.0,15322000.0,15322000.0,21001000.0,21990000.0,22064000.0,22065000.0,22065000.0,27248000.0,26735000.0,26735000.0,32111000.0
FiniteLivedIntangibleAssetsGross / USD,2027000.0,2027000.0,2027000.0,2027000.0,1966000.0,1966000.0,1966000.0,1966000.0,18681000.0,18681000.0,18681000.0,18681000.0,112110000.0,112110000.0,112110000.0,112110000.0,118201000.0,118201000.0,118201000.0,118201000.0,164215000.0,164215000.0,164215000.0,164215000.0,208755000.0,208755000.0,208755000.0
FiniteLivedIntangibleAssetsNet / USD,1048000.0,1048000.0,1048000.0,1048000.0,527000.0,527000.0,527000.0,527000.0,15677000.0,15677000.0,15677000.0,15677000.0,97336000.0,97336000.0,97336000.0,97336000.0,86889000.0,86889000.0,86889000.0,86889000.0,114518000.0,114518000.0,114518000.0,114518000.0,133114000.0,133114000.0,133114000.0
GainContingencyPatentsAllegedlyInfringedUponNumber / patent,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
GainLossOnInvestments / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,6881000.0,6227000.0,6227000.0
GeneralAndAdministrativeExpense / USD,6777000.0,15254000.0,28868000.0,32542000.0,11861000.0,42122000.0,63737000.0,42217000.0,25043000.0,54004000.0,85955000.0,89068000.0,42374000.0,92719000.0,148780000.0,121436000.0,67954000.0,148217000.0,232365000.0,223092000.0,82634000.0,184438000.0,290027000.0,317344000.0,103734000.0,210168000.0,337113000.0
Goodwill / USD,7947000.0,7947000.0,7947000.0,7947000.0,7722000.0,7722000.0,7722000.0,7722000.0,83566000.0,83566000.0,83566000.0,83566000.0,416445000.0,416445000.0,416445000.0,416445000.0,430645000.0,430645000.0,430645000.0,430645000.0,638041000.0,638041000.0,638041000.0,638041000.0,912805000.0,912805000.0,912805000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,,,,,,228000.0,547000.0,-141000.0,-529000.0,-950000.0,-1415000.0,-298000.0,-460000.0,-593000.0,-120000.0,110000.0,52000.0,-129000.0,-54000.0,-50000.0,-2000.0,18000.0,-217000.0,480000.0,520000.0,-2088000.0
